,Security Name,Ticker,Sector Name
501477,MULLER & PHIPPS (INDIA) LTD.,MULLER,Services
501622,AMALGAMATED ELECTRICITY CO.LTD.,AMALGAM,Services
501630,Anand Projects Ltd,ANANDPROJ,Construction
501700,INDIANIVESH LTD.,INDIANVSH,Financial Services
501831,COASTAL CORPORATION LTD.,COASTCORP,Fast Moving Consumer Goods
501833,CHOWGULE STEAMSHIPS LTD.,CHOWGULSTM,Services
501848,GLOBAL OFFSHORE SERVICES LTD.-$,GLOBOFFS,Services
501945,DHENU BUILDCON INFRA LTD.,DHENUBUILD,Financial Services
502015,ASI Industries Ltd,ASIIL,Metals & Mining
502090,SAGAR CEMENTS LTD.-$,SAGCEM,Construction Materials
502137,DECCAN CEMENTS LTD.-$,DECCANCE,Construction Materials
502157,MANGALAM CEMENT LTD.,MANGLMCEM,Construction Materials
502168,NCL INDUSTRIES LTD.-$,NCLIND,Construction Materials
502175,SAURASHTRA CEMENT LTD.,SAURASHCEM,Construction Materials
502180,SHREE DIGVIJAY CEMENT CO.LTD.-$,SHREDIGCEM,Construction Materials
502216,BOMBAY POTTERIES & TILES LTD.,BOMBPOT,Realty
502219,Borosil Renewables Ltd,BORORENEW,Capital Goods
502250,Lerthai Finance Ltd,LERTHAI,Construction Materials
502271,RAASI REFRACTORIES LTD.-$,RASSIREF,Capital Goods
502281,TRIVENI GLASS LTD.-$,TRIVENIGQ,Construction Materials
502294,NILACHAL REFRACTORIES LTD.,NILACHAL,Capital Goods
502330,Andhra Paper Ltd,ANDHRAPAP,Forest Materials
502355,BALKRISHNA INDUSTRIES LTD.-$,BALKRISIND,Automobile and Auto Components
502420,ORIENT PAPER & INDUSTRIES LTD.,ORIENTPPR,Forest Materials
502445,CITADEL REALTY AND DEVELOPERS LTD.,CITADEL,Realty
502448,ROLLATAINERS LTD.,ROLLT,Capital Goods
502450,SESHASAYEE PAPER & BOARDS LTD.,SESHAPAPER,Forest Materials
502563,SHREE BHAWANI PAPER MILLS LTD.,SHBHAWPA,Forest Materials
502587,Nath Industries Ltd,NATHIND,Forest Materials
502589,VAPI PAPER MILLS LTD.,VAPIPPR,Forest Materials
502820,DCM LTD.,DCM,Information Technology
502850,GAEKWAR MILLS LTD.,ZGAEKWAR,Textiles
502865,FORBES & COMPANY LTD.-$,FORBESCO,Consumer Durables
502873,H.P.COTTON TEXTILE MILLS LTD.,HPCOTTON,Textiles
502893,UNITED INTERACTIVE LTD.,UNITEDINT,Information Technology
502901,Jamshri Realty Ltd-$,JAMSHRI,Realty
502933,KATARE SPINNING MILLS LTD.,KATRSPG,Textiles
502937,KESORAM INDUSTRIES LTD.,KESORAMIND,Construction Materials
502958,LAKSHMI MILLS COMPANY LTD.-$,LAKSHMIMIL,Textiles
502986,VARDHMAN TEXTILES LTD.,VTL,Textiles
503031,PENINSULA LAND LTD.,PENINLAND,Realty
503092,PASUPATI SPG.& WVG.MILLS LTD.,PASUSPG,Textiles
503100,The Phoenix Mills Ltd,PHOENIXLTD,Realty
503101,MARATHON NEXTGEN REALTY LTD.,MARATHON,Realty
503127,RAJA BAHADUR INTERNATIONAL LTD.,RAJABAH,Realty
503162,RELIANCE CHEMOTEX INDUSTRIES LTD.-$,RELCHEMQ,Textiles
503169,RUBY MILLS LTD.,RUBYMILLS,Textiles
503229,SIMPLEX REALTY LTD.,SIMPLXREA,Realty
503310,SWAN ENERGY LTD.,SWANENERGY,Textiles
503349,VICTORIA MILLS LTD.,VICTMILL,Realty
503622,S.V.TRADING & AGENCIES LTD.,ZSVTRADI,Financial Services
503624,SVARAJ TRADING & AGENCIES LTD.,ZSVARAJT,Financial Services
503635,SHREE SALASAR INVESTMENT LTD.,SALSAIN,Financial Services
503637,DHANLEELA INVESTMENTS & TRADING COMPANY LTD.,DHANLEELA,Financial Services
503639,INDSOYA LTD.,INDSOYA,Services
503641,Zodiac Ventures Limited,ZODIACVEN,Services
503657,VEER ENERGY & INFRASTRUCTURE LTD.,VEERENRGY,Power
503659,SW Investments Ltd,SW1,Services
503663,Tilak Ventures Ltd,TILAK,Financial Services
503669,K K Fincorp Limited,KKFIN,Services
503671,UNIJOLLY INVESTMENTS CO.LTD.,UNIJOLL,Financial Services
503675,Wagend Infra Venture Limited,WAGEND,Services
503681,ELCID INVESTMENTS LTD.,ELCIDIN,Services
503685,MEDIAONE GLOBAL ENTERTAINMENT LTD.,MEDIAONE,"Media, Entertainment & Publication"
503689,HEALTHY INVESTMENTS LTD.,HEALINV,Services
503691,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,SAHARA,"Media, Entertainment & Publication"
503696,SHREENATH INVESTMENTS CO.LTD.,SHRENTI,Services
503722,BANSWARA SYNTEX LTD.-$,BANSWRAS,Textiles
503772,MODELLA WOOLLENS LTD.,MODWOOL,Services
503776,MODIPON LTD.,MODIPON,Realty
503804,SHRI DINESH MILLS LTD.-$,SHRIDINE,Textiles
503806,SRF LTD.,SRF,Chemicals
503811,SIYARAM SILK MILLS LTD.-$,SIYSIL,Textiles
503816,SWADESHI POLYTEX LTD.,SWADPOL,Textiles
503837,SHREE RAJASTHAN SYNTEX LTD.-$,SHRAJSYNQ,Textiles
503863,SHREE MANUFACTURING CO.LTD.,SHRMFGC,Textiles
503893,SATYAM SILK MILLS LTD.,ZSATYASL,Financial Services
503960,BHARAT BIJLEE LTD.-$,BBL,Capital Goods
504000,ELPRO INTERNATIONAL LTD.,ELPROINTL,Capital Goods
504028,GEE LTD.,GEE,Capital Goods
504036,HIND RECTIFIERS LTD.,HIRECT,Capital Goods
504058,INDO-NATIONAL LTD.,NIPPOBATRY,Fast Moving Consumer Goods
504067,ZENSAR TECHNOLOGIES LTD.,ZENSARTECH,Information Technology
504076,JYOTI LTD.-$,JYOTI,Capital Goods
504080,JSL INDUSTRIES LTD.,JSLINDL,Capital Goods
504084,KAYCEE INDUSTRIES LTD.,KAYCEEI,Capital Goods
504092,INDOKEM LTD.,INDOKEM,Chemicals
504093,PANASONIC ENERGY INDIA COMPANY LTD.-$,PANAENERG,Fast Moving Consumer Goods
504112,NELCO LTD.,NELCO,Information Technology
504132,PERMANENT MAGNETS LTD.-$,PERMAGN,Capital Goods
504176,HIGH ENERGY BATTERIES (INDIA) LTD.,HIGHENE,Fast Moving Consumer Goods
504180,STANDARD BATTERIES LTD.,STDBAT,Financial Services
504212,UNIVERSAL CABLES LTD.,UNIVCABLES,Capital Goods
504220,W.S.INDUSTRIES (INDIA) LTD.-$,WSIND,Capital Goods
504240,DELTON CABLES LTD.,DLTNCBL,Capital Goods
504258,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,LAKSELEC,Capital Goods
504273,Modulex Construction Technologies Ltd,MODULEX,Construction
504286,Delta Manufacturing Ltd,DELTAMAGNT,Capital Goods
504340,Confidence Finance And Trading Limited,CONFINT,Financial Services
504341,Ravindra Energy Ltd,RELTD,Power
504346,G.D.TRADING & AGENCIES LTD.,GDTRAGN,Financial Services
